Time,H,T,I,E,alpha1,alpha2,beta1,beta2,delta1,gamma2,s,rho,omega,mu,alpha3,gamma3,sigma1,sigma2,sigma3,v,theta,pi,Tissue
0.0,0.999999999999998,9.99999999999998e-06,1.379310345,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
0.01,0.9979815028893299,0.004699583469979454,1.3770353376870423,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
0.02,0.995926564166556,0.009368314280261948,1.3748067244901487,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
0.03,0.9938357326428794,0.014016085076062699,1.3726228145636266,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
0.04,0.9917095735076406,0.018642783861499687,1.3704819690534706,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
0.05,0.9895486462012234,0.02324829817091783,1.3683827091450076,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
0.06,0.9873535105837068,0.02783251628989141,1.3663234853377648,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
0.07,0.985124726264027,0.03239532563606122,1.36430286228512,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
0.08,0.9828628523926464,0.036936611968663165,1.362319582354693,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
0.09,0.9805684486487337,0.041456263392004616,1.3603721751811257,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
0.1,0.9782420734547871,0.045954165917395595,1.3584596529050406,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
0.11,0.975884286328739,0.05043020688186044,1.3565806103832947,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
0.12,0.9734956442330992,0.0548842742866757,1.3547341494370364,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
0.13,0.9710767058730648,0.05931625531467778,1.3529190715358361,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
0.14,0.9686280273720086,0.06372603984348163,1.3511344067079885,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
0.15,0.9661501644770597,0.06811351810072983,1.349379224520154,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
0.16,0.9636436732032695,0.0724785801545198,1.347652515888764,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
0.17,0.9611091047925747,0.07682112164917562,1.34595351445171,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
0.18,0.9585470152375957,0.08114103261221232,1.3442812330208125,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
0.19,0.9559579504493497,0.08543821474672136,1.3426350077230629,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
0.2,0.9533424644920634,0.08971256034674228,1.3410139330024056,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
0.21,0.9507010995740917,0.09396397473768181,1.3394173613318934,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
0.22,0.9480344011012004,0.09819235977168504,1.337844581506948,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
0.23,0.945342917594602,0.10239761391667189,1.3362948202777263,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
0.24,0.9426271947943428,0.10657963864658075,1.3347673528237705,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
