data_generator_MDM2,data_generator_MDM2_mRNA,data_generator_time
5.0,10.0,0.0
8.0,10.0,1.0
9.0,10.0,2.0
14.0,10.0,3.0
15.0,9.0,4.0
16.0,9.0,5.0
20.0,9.0,6.0
19.0,9.0,7.0
19.0,9.0,8.0
18.0,9.0,9.0
16.0,9.0,10.0
13.0,9.0,11.0
14.0,9.0,12.0
15.0,9.0,13.0
15.0,9.0,14.0
17.0,9.0,15.0
15.0,9.0,16.0
16.0,9.0,17.0
16.0,9.0,18.0
13.0,9.0,19.0
10.0,9.0,20.0
10.0,9.0,21.0
6.0,9.0,22.0
6.0,9.0,23.0
6.0,9.0,24.0
4.0,9.0,25.0
10.0,9.0,26.0
6.0,9.0,27.0
12.0,8.0,28.0
11.0,8.0,29.0
14.0,9.0,30.0
16.0,9.0,31.0
15.0,9.0,32.0
14.0,9.0,33.0
15.0,9.0,34.0
15.0,9.0,35.0
17.0,9.0,36.0
18.0,9.0,37.0
18.0,9.0,38.0
21.0,9.0,39.0
23.0,9.0,40.0
21.0,9.0,41.0
22.0,9.0,42.0
23.0,9.0,43.0
22.0,9.0,44.0
20.0,9.0,45.0
18.0,9.0,46.0
18.0,9.0,47.0
18.0,9.0,48.0
17.0,9.0,49.0
20.0,9.0,50.0
22.0,9.0,51.0
26.0,9.0,52.0
25.0,9.0,53.0
26.0,9.0,54.0
26.0,9.0,55.0
28.0,9.0,56.0
24.0,9.0,57.0
25.0,9.0,58.0
28.0,9.0,59.0
31.0,9.0,60.0
30.0,9.0,61.0
28.0,8.0,62.0
32.0,8.0,63.0
32.0,8.0,64.0
31.0,8.0,65.0
32.0,8.0,66.0
36.0,8.0,67.0
34.0,8.0,68.0
28.0,8.0,69.0
31.0,8.0,70.0
33.0,8.0,71.0
33.0,8.0,72.0
30.0,8.0,73.0
34.0,8.0,74.0
32.0,8.0,75.0
28.0,8.0,76.0
23.0,8.0,77.0
20.0,8.0,78.0
19.0,8.0,79.0
21.0,8.0,80.0
20.0,8.0,81.0
21.0,8.0,82.0
23.0,7.0,83.0
24.0,7.0,84.0
18.0,7.0,85.0
19.0,7.0,86.0
15.0,7.0,87.0
16.0,7.0,88.0
17.0,7.0,89.0
17.0,7.0,90.0
18.0,7.0,91.0
24.0,7.0,92.0
25.0,7.0,93.0
23.0,7.0,94.0
22.0,7.0,95.0
20.0,7.0,96.0
17.0,7.0,97.0
18.0,7.0,98.0
17.0,7.0,99.0
12.0,7.0,100.0
