TF1_2_task1,TF1target_mRNA_3_task1,_1_task1,miR_1_task1
0.0,0.0,0.0,0.0
0.0,0.0,14.4,0.0
0.0,0.0,28.8,0.0
0.0,0.0,43.2,0.0
0.0,0.0,57.6,0.0
0.0,0.0,72.0,0.0
0.0,0.0,86.4,0.0
0.0,0.0,100.8,0.0
0.0,0.0,115.2,0.0
0.0,0.0,129.6,0.0
0.0,0.0,144.0,0.0
0.0,0.0,158.4,0.0
0.0,0.0,172.8,0.0
0.0,0.0,187.20000000000002,0.0
0.0,0.0,201.6,0.0
0.0,0.0,216.0,0.0
0.0,0.0,230.4,0.0
0.0,0.0,244.8,0.0
0.0,0.0,259.2,0.0
0.0,0.0,273.6,0.0
0.0,0.0,288.0,0.0
0.0,0.0,302.40000000000003,0.0
0.0,0.0,316.8,0.0
0.0,0.0,331.2,0.0
0.0,0.0,345.6,0.0
0.0,0.0,360.0,0.0
0.0,0.0,374.40000000000003,0.0
0.0,0.0,388.8,0.0
0.0,0.0,403.2,0.0
0.0,0.0,417.6,0.0
0.0,0.0,432.0,0.0
0.0,0.0,446.40000000000003,0.0
0.0,0.0,460.8,0.0
0.0,0.0,475.2,0.0
0.0,0.0,489.6,0.0
0.0,0.0,504.0,0.0
0.0,0.0,518.4,0.0
0.0,0.0,532.8000000000001,0.0
0.0,0.0,547.2,0.0
0.0,0.0,561.6,0.0
0.0,0.0,576.0,0.0
0.0,0.0,590.4,0.0
0.0,0.0,604.8000000000001,0.0
0.0,0.0,619.2,0.0
0.0,0.0,633.6,0.0
0.0,0.0,648.0,0.0
0.0,0.0,662.4,0.0
0.0,0.0,676.8000000000001,0.0
0.0,0.0,691.2,0.0
0.0,0.0,705.6,0.0
0.0,0.0,720.0,0.0
0.0,0.0,734.4,0.0
0.0,0.0,748.8000000000001,0.0
0.0,0.0,763.2,0.0
0.0,0.0,777.6,0.0
0.0,0.0,792.0,0.0
0.0,0.0,806.4,0.0
0.0,0.0,820.8000000000001,0.0
0.0,0.0,835.2,0.0
0.0,0.0,849.6,0.0
0.0,0.0,864.0,0.0
0.0,0.0,878.4,0.0
0.0,0.0,892.8000000000001,0.0
0.0,0.0,907.2,0.0
0.0,0.0,921.6,0.0
0.0,0.0,936.0,0.0
0.0,0.0,950.4,0.0
0.0,0.0,964.8000000000001,0.0
0.0,0.0,979.2,0.0
0.0,0.0,993.6,0.0
0.0,0.0,1008.0,0.0
0.0,0.0,1022.4,0.0
0.0,0.0,1036.8,0.0
0.0,0.0,1051.2,0.0
0.0,0.0,1065.6000000000001,0.0
0.0,0.0,1080.0,0.0
0.0,0.0,1094.4,0.0
0.0,0.0,1108.8,0.0
0.0,0.0,1123.2,0.0
0.0,0.0,1137.6000000000001,0.0
0.0,0.0,1152.0,0.0
0.0,0.0,1166.4,0.0
0.0,0.0,1180.8,0.0
0.0,0.0,1195.2,0.0
0.0,0.0,1209.6000000000001,0.0
0.0,0.0,1224.0,0.0
0.0,0.0,1238.4,0.0
0.0,0.0,1252.8,0.0
0.0,0.0,1267.2,0.0
0.0,0.0,1281.6000000000001,0.0
0.0,0.0,1296.0,0.0
0.0,0.0,1310.4,0.0
0.0,0.0,1324.8,0.0
0.0,0.0,1339.2,0.0
0.0,0.0,1353.6000000000001,0.0
0.0,0.0,1368.0,0.0
0.0,0.0,1382.4,0.0
0.0,0.0,1396.8,0.0
0.0,0.0,1411.2,0.0
0.0,0.0,1425.6000000000001,0.0
0.0,0.0,1440.0,0.0
0.0,0.0,1454.4,0.0
0.0,0.0,1468.8,0.0
0.0,0.0,1483.2,0.0
0.0,0.0,1497.6000000000001,0.0
0.0,0.0,1512.0,0.0
0.0,0.0,1526.4,0.0
0.0,0.0,1540.8,0.0
0.0,0.0,1555.2,0.0
0.0,0.0,1569.6000000000001,0.0
0.0,0.0,1584.0,0.0
0.0,0.0,1598.4,0.0
0.0,0.0,1612.8,0.0
0.0,0.0,1627.2,0.0
0.0,0.0,1641.6000000000001,0.0
0.0,0.0,1656.0,0.0
0.0,0.0,1670.4,0.0
0.0,0.0,1684.8,0.0
0.0,0.0,1699.2,0.0
0.0,0.0,1713.6000000000001,0.0
0.0,0.0,1728.0,0.0
0.0,0.0,1742.4,0.0
0.0,0.0,1756.8,0.0
0.0,0.0,1771.2,0.0
0.0,0.0,1785.6000000000001,0.0
0.0,0.0,1800.0,0.0
0.0,0.0,1814.4,0.0
0.0,0.0,1828.8,0.0
0.0,0.0,1843.2,0.0
0.0,0.0,1857.6000000000001,0.0
0.0,0.0,1872.0,0.0
0.0,0.0,1886.4,0.0
0.0,0.0,1900.8,0.0
0.0,0.0,1915.2,0.0
0.0,0.0,1929.6000000000001,0.0
0.0,0.0,1944.0,0.0
0.0,0.0,1958.4,0.0
0.0,0.0,1972.8,0.0
0.0,0.0,1987.2,0.0
0.0,0.0,2001.6000000000001,0.0
0.0,0.0,2016.0,0.0
0.0,0.0,2030.4,0.0
0.0,0.0,2044.8,0.0
0.0,0.0,2059.2000000000003,0.0
0.0,0.0,2073.6,0.0
0.0,0.0,2088.0,0.0
0.0,0.0,2102.4,0.0
0.0,0.0,2116.8,0.0
0.0,0.0,2131.2000000000003,0.0
0.0,0.0,2145.6,0.0
0.0,0.0,2160.0,0.0
0.0,0.0,2174.4,0.0
0.0,0.0,2188.8,0.0
0.0,0.0,2203.2000000000003,0.0
0.0,0.0,2217.6,0.0
0.0,0.0,2232.0,0.0
0.0,0.0,2246.4,0.0
0.0,0.0,2260.8,0.0
0.0,0.0,2275.2000000000003,0.0
0.0,0.0,2289.6,0.0
0.0,0.0,2304.0,0.0
0.0,0.0,2318.4,0.0
0.0,0.0,2332.8,0.0
0.0,0.0,2347.2000000000003,0.0
0.0,0.0,2361.6,0.0
0.0,0.0,2376.0,0.0
0.0,0.0,2390.4,0.0
0.0,0.0,2404.8,0.0
0.0,0.0,2419.2000000000003,0.0
0.0,0.0,2433.6,0.0
0.0,0.0,2448.0,0.0
0.0,0.0,2462.4,0.0
0.0,0.0,2476.8,0.0
0.0,0.0,2491.2000000000003,0.0
0.0,0.0,2505.6,0.0
0.0,0.0,2520.0,0.0
0.0,0.0,2534.4,0.0
0.0,0.0,2548.8,0.0
0.0,0.0,2563.2000000000003,0.0
0.0,0.0,2577.6,0.0
0.0,0.0,2592.0,0.0
0.0,0.0,2606.4,0.0
0.0,0.0,2620.8,0.0
0.0,0.0,2635.2000000000003,0.0
0.0,0.0,2649.6,0.0
0.0,0.0,2664.0,0.0
0.0,0.0,2678.4,0.0
0.0,0.0,2692.8,0.0
0.0,0.0,2707.2000000000003,0.0
