biomodels_id,project_id,runid
BIOMD0000000001,"BIOMD0000000001_amici_A_kinetic_mechanism_for_nicoti","647106f00dcacb55678b35f4"
"BIOMD0000000002","BIOMD0000000002_copasi_A_kinetic_mechanism_for_nicoti","647106f39a62a8be53f734bd"
"BIOMD0000000003","BIOMD0000000003_tellurium_A_minimal_cascade_model_for_th","647106f69a62a8be53f734c4"
"BIOMD0000000004","BIOMD0000000004_amici_A_minimal_cascade_model_for_th","647106fa0dcacb55678b3606"
"BIOMD0000000005","BIOMD0000000005_amici_Modeling_the_cell_division_cyc","647106fd9a62a8be53f734de"
"BIOMD0000000006","BIOMD0000000006_tellurium_Modeling_the_cell_division_cyc","647106ff49c0d898ffdd8d7f"
"BIOMD0000000008","BIOMD0000000008_copasi_A_theory_for_controlling_cell_","647107070dcacb55678b363c"
"BIOMD0000000009","BIOMD0000000009_amici_Ultrasensitivity_in_the_mitoge","6471070c9a62a8be53f73526"
"BIOMD0000000010","BIOMD0000000010_tellurium_Negative_feedback_and_ultrasen","6471070e49c0d898ffdd8dbd"
"BIOMD0000000011","BIOMD0000000011_copasi_Scaffold_proteins_may_biphasic","647107120dcacb55678b367f"
"BIOMD0000000012","BIOMD0000000012_amici_A_synthetic_oscillatory_networ","6471071749c0d898ffdd8e26"
"BIOMD0000000014","BIOMD0000000014_tellurium_Scaffold_proteins_may_biphasic","6471071c9a62a8be53f735f9"
"BIOMD0000000015","BIOMD0000000015_copasi_Mathematical_models_of_purine_","647107210dcacb55678b37a5"
"BIOMD0000000017","BIOMD0000000017_copasi_Metabolic_engineering_of_lacti","6471072949c0d898ffdd8f3d"
"BIOMD0000000018","BIOMD0000000018_tellurium_Folate_cycle_kinetics_in_human","6471072b49c0d898ffdd8faf"
"BIOMD0000000021","BIOMD0000000021_tellurium_Chaos_and_birhythmicity_in_a_m","647107380dcacb55678b3a70"
"BIOMD0000000022","BIOMD0000000022_amici_Interlocked_feedback_loops_wit","6471073d0dcacb55678b3b12"
"BIOMD0000000023","BIOMD0000000023_copasi_Analysis_of_sucrose_accumulati","6471073f0dcacb55678b3b21"
"BIOMD0000000026","BIOMD0000000026_tellurium_Signaling_switches_and_bistabi","647107470dcacb55678b3b9a"
"BIOMD0000000027","BIOMD0000000027_amici_Signaling_switches_and_bistabi","6471074b0dcacb55678b3c2d"
"BIOMD0000000028","BIOMD0000000028_copasi_Signaling_switches_and_bistabi","6471074e9a62a8be53f73cc3"
"BIOMD0000000029","BIOMD0000000029_tellurium_Signaling_switches_and_bistabi","647107519a62a8be53f73cd9"
"BIOMD0000000030","BIOMD0000000030_amici_Signaling_switches_and_bistabi","647107550dcacb55678b3d31"
"BIOMD0000000031","BIOMD0000000031_copasi_Signaling_switches_and_bistabi","6471075849c0d898ffdd94bf"
"BIOMD0000000033","BIOMD0000000033_tellurium_The_statistical_mechanics_of_c","6471075e49c0d898ffdd9543"
"BIOMD0000000035","BIOMD0000000035_amici_Mechanisms_of_noise_resistance","647107650dcacb55678b3f67"
"BIOMD0000000036","BIOMD0000000036_tellurium_A_simple_model_of_circadian_rh","647107679a62a8be53f73e4b"
"BIOMD0000000037","BIOMD0000000037_amici_Theory_of_time_resolved_somati","6471076b0dcacb55678b4065"
"BIOMD0000000038","BIOMD0000000038_copasi_Understanding_glucose_transpor","6471076e9a62a8be53f73f08"
"BIOMD0000000039","BIOMD0000000039_tellurium_Mitochondria_as_an_important_f","6471077049c0d898ffdd9789"
"BIOMD0000000040","BIOMD0000000040_copasi_Oscillations_in_chemical_syste","647107740dcacb55678b412f"
"BIOMD0000000041","BIOMD0000000041_tellurium_Creatine_kinase_in_energy_meta","647107760dcacb55678b414e"
"BIOMD0000000042","BIOMD0000000042_copasi_Oscillations_and_control_featu","6471077a49c0d898ffdd9898"
"BIOMD0000000045","BIOMD0000000045_tellurium_Complex_intracellular_calcium_","647107829a62a8be53f741a4"
"BIOMD0000000046","BIOMD0000000046_amici_Mechanism_of_protection_of_per","6471078649c0d898ffdd99f8"
"BIOMD0000000047","BIOMD0000000047_amici_A_minimal_generic_model_of_bac","6471078b0dcacb55678b43ae"
