project_id,abstract,citation,doi,paper_url,runid,title
Yeast-cell-cycle-Irons-J-Theor-Biol-2009,"BACKGROUND: Qualitative frameworks, especially those based on the logical discrete formalism, are increasingly used to model regulatory and signalling networks. A major advantage of these frameworks is that they do not require precise quantitative data, and that they are well-suited for studies of large networks. While numerous groups have developed specific computational tools that provide original methods to analyse qualitative models, a standard format to exchange qualitative models has been missing. RESULTS: We present the Systems Biology Markup Language (SBML) Qualitative Models Package (“qual”), an extension of the SBML Level 3 standard designed for computer representation of qualitative models of biological networks. We demonstrate the interoperability of models via SBML qual through the analysis of a specific signalling network by three independent software tools. Furthermore, the collective effort to define the SBML qual format paved the way for the development of LogicalModel, an open-source model library, which will facilitate the adoption of the format as well as the collaborative development of algorithms to analyse qualitative models. CONCLUSIONS: SBML qual allows the exchange of qualitative models among a number of complementary software tools. SBML qual has the potential to promote collaborative work on the development of novel computational approaches, as well as on the specification and the analysis of comprehensive qualitative models of regulatory and signalling networks.","DJ Irons. Logical analysis of the budding yeast cell cycle. J Theor Biol 257, 4 (2009): 543-559.",10.1186/1752-0509-7-135,http://identifiers.org/doi:10.1186/1752-0509-7-135,61fea483f499ccf25faafc4d, Logical analysis of the budding yeast cell cycle
EGF-TNFa-signaling-Chaouiya-BMC-Syst-Biol-2013,"
Abstract not found in PubMed. The following is obtained from ChatGPT.

The paper introduces SBML Qualitative Models, a standard format for representing qualitative models of biological systems. The authors explain the benefits of this format, including its ability to allow for interoperability between different qualitative modeling tools and the ability to easily share and reuse models. They also discuss the technical details of SBML Qualitative Models and provide examples of its use in various applications. The paper ends with a call to the community to adopt this format and contribute to its further development.","Claudine Chaouiya, Duncan Bérenguier, Sarah M Keating, Aurélien Naldi, Martijn P van Iersel, Nicolas Rodriguez, Andreas Dräger, Finja Büchel, Thomas Cokelaer, Bryan Kowal, Benjamin Wicks, Emanuel Gonçalves, Julien Dorier, Michel Page, Pedro T Monteiro, Axel von Kamp, Ioannis Xenarios, Hidde de Jong, Michael Hucka, Steffen Klamt, Denis Thieffry, Nicolas Le Novère, Julio Saez-Rodriguez & Tomáš Helikar. SBML qualitative models: a model representation format and infrastructure to foster interactions between qualitative modelling formalisms and tools. BMC Syst Biol 7 (2013): 135.",10.1088/1478-3975/9/4/045003,http://identifiers.org/doi:10.1186/1752-0509-7-135,61fea485f499ccf25faafc50, SBML qualitative models: a model representation format and infrastructure to foster interactions between qualitative modelling formalisms and tools
Escherichia-coli-core-metabolism-textbook,"BACKGROUND: COnstraint-Based Reconstruction and Analysis (COBRA) methods are widely used for genome-scale modeling of metabolic networks in both prokaryotes and eukaryotes. Due to the successes with metabolism, there is an increasing effort to apply COBRA methods to reconstruct and analyze integrated models of cellular processes. The COBRA Toolbox for MATLAB is a leading software package for genome-scale analysis of metabolism; however, it was not designed to elegantly capture the complexity inherent in integrated biological networks and lacks an integration framework for the multiomics data used in systems biology. The openCOBRA Project is a community effort to promote constraints-based research through the distribution of freely available software. RESULTS: Here, we describe COBRA for Python (COBRApy), a Python package that provides support for basic COBRA methods. COBRApy is designed in an object-oriented fashion that facilitates the representation of the complex biological processes of metabolism and gene expression. COBRApy does not require MATLAB to function; however, it includes an interface to the COBRA Toolbox for MATLAB to facilitate use of legacy codes. For improved performance, COBRApy includes parallel processing support for computationally intensive processes. CONCLUSION: COBRApy is an object-oriented framework designed to meet the computational challenges associated with the next generation of stoichiometric constraint-based models and high-density omics data sets. AVAILABILITY: http://opencobra.sourceforge.net/","Ali Ebrahim, Joshua A Lerman, Bernhard O Palsson & Daniel R Hyduke. COBRApy: COnstraints-Based Reconstruction and Analysis for Python. BMC Syst Biol 7 (2013): 74.",10.1186/1752-0509-7-74,http://identifiers.org/doi:10.1186/1752-0509-7-74,61fea4878edd56f301e6a7ed, COBRApy: COnstraints-Based Reconstruction and Analysis for Python
Escherichia-coli-resource-allocation-Bulovic-Metab-Eng-2019,"The initial genome-scale reconstruction of the metabolic network of Escherichia coli K-12 MG1655 was assembled in 2000. It has been updated and periodically released since then based on new and curated genomic and biochemical knowledge. An update has now been built, named iJO1366, which accounts for 1366 genes, 2251 metabolic reactions, and 1136 unique metabolites. iJO1366 was (1) updated in part using a new experimental screen of 1075 gene knockout strains, illuminating cases where alternative pathways and isozymes are yet to be discovered, (2) compared with its predecessor and to experimental data sets to confirm that it continues to make accurate phenotypic predictions of growth on different substrates and for gene knockout strains, and (3) mapped to the genomes of all available sequenced E. coli strains, including pathogens, leading to the identification of hundreds of unannotated genes in these organisms. Like its predecessors, the iJO1366 reconstruction is expected to be widely deployed for studying the systems biology of E. coli and for metabolic engineering applications.","Ana Bulović, Stephan Fischer, Marc Dinh, Felipe Golib, Wolfram Liebermeister, Christian Poirier, Laurent Tournier, Edda Klipp, Vincent Fromion & Anne Goelzer. Automated generation of bacterial resource allocation models. Metabolic Engineering 55 (2019): 12-22.",10.1038/msb.2011.65,http://identifiers.org/doi:10.1016/j.ymben.2019.06.001,61fea4888c1e3dc95a798006, Automated generation of bacterial resource allocation models
HSP-synthesis-Szymanska-J-Theor-Biol-2009,"
Abstract not found in PubMed. The following is obtained from ChatGPT.

The paper presents a mathematical model for the synthesis of heat shock proteins (HSPs) in response to temperature change. The model is based on experimental data and takes into account the kinetics of protein synthesis and degradation, as well as the effect of temperature on the rate of HSP synthesis. The authors use the model to investigate the role of different parameters in HSP synthesis, and they show that the rate of HSP synthesis is mainly regulated by the turnover rate of HSP mRNA. The paper provides insights into the mechanisms regulating HSP synthesis, and it may have implications for understanding the response of cells to stress.","Zuzanna Szymańska Z & Maciej Zylicz. Mathematical modeling of heat shock protein synthesis in response to temperature change. Journal of Theoretical Biology 259, 3 (2009): 562-569.",10.1016/j.jtbi.2009.03.021,http://identifiers.org/doi:10.1016/j.jtbi.2009.03.021,61fea4893c41b662ca49b3ca, Mathematical modeling of heat shock protein synthesis in response to temperature change
Hodgkin-Huxley-cell-Gleeson,"Computational models are increasingly important for studying complex neurophysiological systems. As scientific tools, it is essential that such models can be reproduced and critically evaluated by a range of scientists. However, published models are currently implemented using a diverse set of modeling approaches, simulation tools, and computer languages making them inaccessible and difficult to reproduce. Models also typically contain concepts that are tightly linked to domain-specific simulators, or depend on knowledge that is described exclusively in text-based documentation. To address these issues we have developed a compact, hierarchical, XML-based language called LEMS (Low Entropy Model Specification), that can define the structure and dynamics of a wide range of biological models in a fully machine readable format. We describe how LEMS underpins the latest version of NeuroML and show that this framework can define models of ion channels, synapses, neurons and networks. Unit handling, often a source of error when reusing models, is built into the core of the language by specifying physical quantities in models in terms of the base dimensions. We show how LEMS, together with the open source Java and Python based libraries we have developed, facilitates the generation of scripts for multiple neuronal simulators and provides a route for simulator free code generation. We establish that LEMS can be used to define models from systems biology and map them to neuroscience-domain specific simulators, enabling models to be shared between these traditionally separate disciplines. LEMS and NeuroML 2 provide a new, comprehensive framework for defining computational models of neuronal and other biological systems in a machine readable format, making them more reproducible and increasing the transparency and accessibility of their underlying structure and properties.","Robert C. Cannon, Padraig Gleeson, Sharon Crook, Gautham Ganapathy, Boris Marin, Eugenio Piasini & R. Angus Silver. LEMS: a language for expressing complex biological models in concise and hierarchical form and its use in underpinning NeuroML 2. Front Neuroinform 8 (2014): 79.",10.3389/fninf.2014.00079,http://identifiers.org/doi:10.3389/fninf.2014.00079,61fea490f499ccf25faafc55, LEMS: a language for expressing complex biological models in concise and hierarchical form and its use in underpinning NeuroML 2
Iron-distribution-Parmar-BMC-Syst-Biol-2017,"BACKGROUND: Iron is an essential element of most living organisms but is a dangerous substance when poorly liganded in solution. The hormone hepcidin regulates the export of iron from tissues to the plasma contributing to iron homeostasis and also restricting its availability to infectious agents. Disruption of iron regulation in mammals leads to disorders such as anemia and hemochromatosis, and contributes to the etiology of several other diseases such as cancer and neurodegenerative diseases. Here we test the hypothesis that hepcidin alone is able to regulate iron distribution in different dietary regimes in the mouse using a computational model of iron distribution calibrated with radioiron tracer data. RESULTS: A model was developed and calibrated to the data from adequate iron diet, which was able to simulate the iron distribution under a low iron diet. However simulation of high iron diet shows considerable deviations from the experimental data. Namely the model predicts more iron in red blood cells and less iron in the liver than what was observed in experiments. CONCLUSIONS: These results suggest that hepcidin alone is not sufficient to regulate iron homeostasis in high iron conditions and that other factors are important. The model was able to simulate anemia when hepcidin was increased but was unable to simulate hemochromatosis when hepcidin was suppressed, suggesting that in high iron conditions additional regulatory interactions are important. ELECTRONIC SUPPLEMENTARY MATERIAL: The online version of this article (doi:10.1186/s12918-017-0431-3) contains supplementary material, which is available to authorized users.","Jignesh H Parmar, Grey Davis, Hope Shevchuk & Pedro Mendes. Modeling the dynamics of mouse iron body distribution: hepcidin is necessary but not sufficient. BMC Syst Biol 11, 1 (2017): 57.",10.1186/s12918-017-0431-3,http://identifiers.org/doi:10.1186/s12918-017-0431-3,61fea49149420059835774e6, Modeling the dynamics of mouse iron body distribution: hepcidin is necessary but not sufficient
Lorenz-system-Garny,"Computational biologists have been developing standards and formats for nearly two decades, with the aim of easing the description and exchange of experimental data, mathematical models, simulation experiments, etc. One of those efforts is CellML (cellml.org), an XML-based markup language for the encoding of mathematical models. Early CellML-based environments include COR and OpenCell. However, both of those tools have limitations and were eventually replaced with OpenCOR (opencor.ws). OpenCOR is an open source modeling environment that is supported on Windows, Linux and OS X. It relies on a modular approach, which means that all of its features come in the form of plugins. Those plugins can be used to organize, edit, simulate and analyze models encoded in the CellML format. We start with an introduction to CellML and two of its early adopters, which limitations eventually led to the development of OpenCOR. We then go onto describing the general philosophy behind OpenCOR, as well as describing its openness and its development process. Next, we illustrate various aspects of OpenCOR, such as its user interface and some of the plugins that come bundled with it (e.g., its editing and simulation plugins). Finally, we discuss some of the advantages and limitations of OpenCOR before drawing some concluding remarks.",Alan Garny & Peter J. Hunter. OpenCOR: a modular and interoperable approach to computational biology. Front Physiol 6 (2015): 26.,10.3389/fphys.2015.00026,http://identifiers.org/doi:10.3389/fphys.2015.00026,61fea492f499ccf25faafc5f, OpenCOR: a modular and interoperable approach to computational biology
Lotka-Volterra-Andrews,"
Abstract not found in PubMed. The following is obtained from ChatGPT.

The paper presents a new particle-based simulation tool called Smoldyn, which uses rule-based modeling and improved molecular interaction. It also includes a library interface for easier use and integration into larger systems. Smoldyn is designed to simulate complex biological systems at the particle level with high accuracy and flexibility, making it a valuable tool for researchers in the field.","Steven S. Andrews. Smoldyn: particle-based simulation with rule-based modeling, improved molecular interaction and a library interface. Bioinformatics 33, 5 (2017): 710-717.",10.1093/bioinformatics/btw700,http://identifiers.org/doi:10.1093/bioinformatics/btw700,61fea4933c41b662ca49b3d8," Smoldyn: particle-based simulation with rule-based modeling, improved molecular interaction and a library interface"
Morphogenesis-checkpoint-continuous-Ciliberto-J-Cell-Biol-2003,"
Abstract not found in PubMed. The following is obtained from ChatGPT.

The paper by Ciliberto, Novak, and Tyson reviews various mathematical models that have been developed to understand cell cycle regulation in eukaryotic cells. The authors discuss different types of models, including those that focus on the biochemical reactions within cells and those that use systems biology approaches. They also describe various factors that affect the cell cycle, such as external signals, checkpoint mechanisms, and cell size. The review ultimately highlights the importance of mathematical modeling in advancing our understanding of the complex processes underlying cell cycle regulation.","Andrea Ciliberto, Bela Novak & John J. Tyson. Cell Biology 163, 3 (2003): 1243-1254.",10.1006/jtbi.2001.2293,http://identifiers.org/doi:10.1083/jcb.200306139,61fea4948edd56f301e6a7fc,
