Time,B,C,R,Phi_C,D_B,Phi_L,Phi_P,Pbar,P_O,P_S,remove_Rcells,C_s,D_A,d_B,D_C,D_R,f0,I_L,I_O,I_P,K,k1,k2,k3,k4,k5,k6,k_B,K_L_P,kO,K_O_P,k_P,r_L,S_P,Compartment
0.0,0.0007282,0.0009127,0.0007734,0.19664451096791652,0.034999999999999996,0.05982275279878372,0.01937984496124031,0.0,2.9069767441860463,150.0,0.0,0.005,0.7,0.7,0.0021,0.0007,0.05,0.0,0.0,0.0,10.0,0.01,10.0,0.00058,0.017,0.02,3.0,0.189,3000000.0,0.35,200000.0,86.0,1000.0,250.0,1.0
0.14,0.0007282034060567783,0.0009126991661570116,0.0007733995273573745,0.19664439767408523,0.034999999999999996,0.05982306714014722,0.01937984496124031,0.0,2.9069767441860463,150.0,0.0,0.005,0.7,0.7,0.0021,0.0007,0.05,0.0,0.0,0.0,10.0,0.01,10.0,0.00058,0.017,0.02,3.0,0.189,3000000.0,0.35,200000.0,86.0,1000.0,250.0,1.0
0.28,0.000728206726233253,0.0009126984419251466,0.0007733990465864535,0.19664429927303675,0.034999999999999996,0.05982337502047626,0.01937984496124031,0.0,2.9069767441860463,150.0,0.0,0.005,0.7,0.7,0.0021,0.0007,0.05,0.0,0.0,0.0,10.0,0.01,10.0,0.00058,0.017,0.02,3.0,0.189,3000000.0,0.35,200000.0,86.0,1000.0,250.0,1.0
0.42000000000000004,0.0007282099571274104,0.0009126978267879628,0.0007733985605945633,0.1966442156946132,0.034999999999999996,0.05982367594789243,0.01937984496124031,0.0,2.9069767441860463,150.0,0.0,0.005,0.7,0.7,0.0021,0.0007,0.05,0.0,0.0,0.0,10.0,0.01,10.0,0.00058,0.017,0.02,3.0,0.189,3000000.0,0.35,200000.0,86.0,1000.0,250.0,1.0
0.56,0.0007282130992769456,0.0009126973162908978,0.0007733980719016661,0.1966441463335842,0.034999999999999996,0.05982396978246455,0.01937984496124031,0.0,2.9069767441860463,150.0,0.0,0.005,0.7,0.7,0.0021,0.0007,0.05,0.0,0.0,0.0,10.0,0.01,10.0,0.00058,0.017,0.02,3.0,0.189,3000000.0,0.35,200000.0,86.0,1000.0,250.0,1.0
0.7000000000000001,0.0007282161534960558,0.0009126969054574116,0.0007733975831339996,0.1966440905137965,0.034999999999999996,0.059824256399208395,0.01937984496124031,0.0,2.9069767441860463,150.0,0.0,0.005,0.7,0.7,0.0021,0.0007,0.05,0.0,0.0,0.0,10.0,0.01,10.0,0.00058,0.017,0.02,3.0,0.189,3000000.0,0.35,200000.0,86.0,1000.0,250.0,1.0
0.8400000000000001,0.0007282191207903482,0.0009126965892125874,0.0007733970968057677,0.19664404754572862,0.034999999999999996,0.059824535697045204,0.01937984496124031,0.0,2.9069767441860463,150.0,0.0,0.005,0.7,0.7,0.0021,0.0007,0.05,0.0,0.0,0.0,10.0,0.01,10.0,0.00058,0.017,0.02,3.0,0.189,3000000.0,0.35,200000.0,86.0,1000.0,250.0,1.0
0.9800000000000001,0.0007282220022928107,0.0009126963625384488,0.000773396615265723,0.196644016747594,0.034999999999999996,0.05982480759744449,0.01937984496124031,0.0,2.9069767441860463,150.0,0.0,0.005,0.7,0.7,0.0021,0.0007,0.05,0.0,0.0,0.0,10.0,0.01,10.0,0.00058,0.017,0.02,3.0,0.189,3000000.0,0.35,200000.0,86.0,1000.0,250.0,1.0
1.12,0.0007282247992367547,0.0009126962205275828,0.0007733961406842871,0.1966439974526269,0.034999999999999996,0.05982507204314277,0.01937984496124031,0.0,2.9069767441860463,150.0,0.0,0.005,0.7,0.7,0.0021,0.0007,0.05,0.0,0.0,0.0,10.0,0.01,10.0,0.00058,0.017,0.02,3.0,0.189,3000000.0,0.35,200000.0,86.0,1000.0,250.0,1.0
1.2600000000000002,0.000728227512941187,0.0009126961584022183,0.0007733956750545043,0.1966439890116749,0.034999999999999996,0.05982532899687275,0.01937984496124031,0.0,2.9069767441860463,150.0,0.0,0.005,0.7,0.7,0.0021,0.0007,0.05,0.0,0.0,0.0,10.0,0.01,10.0,0.00058,0.017,0.02,3.0,0.189,3000000.0,0.35,200000.0,86.0,1000.0,250.0,1.0
