Antigen_expressing_cells_1_task1,Effector_cells_3_task1,Regulatory_cells_2_task1,time_task1
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.2
1.0,1.0,1.0,0.4
1.0,1.0,1.0,0.6000000000000001
1.0,1.0,1.0,0.8
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.2000000000000002
1.0,1.0,1.0,1.4000000000000001
1.0,1.0,1.0,1.6
1.0,1.0,1.0,1.8
1.0,1.0,1.0,2.0
1.0,1.0,1.0,2.2
1.0,1.0,1.0,2.4000000000000004
1.0,1.0,1.0,2.6
1.0,1.0,1.0,2.8000000000000003
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.2
1.0,1.0,1.0,3.4000000000000004
1.0,1.0,1.0,3.6
1.0,1.0,1.0,3.8000000000000003
1.0,1.0,1.0,4.0
1.0,1.0,1.0,4.2
1.0,1.0,1.0,4.4
1.0,1.0,1.0,4.6000000000000005
1.0,1.0,1.0,4.800000000000001
1.0,1.0,1.0,5.0
1.0,1.0,1.0,5.2
1.0,1.0,1.0,5.4
1.0,1.0,1.0,5.6000000000000005
1.0,1.0,1.0,5.800000000000001
1.0,1.0,1.0,6.0
1.0,1.0,1.0,6.2
1.0,1.0,1.0,6.4
1.0,1.0,1.0,6.6000000000000005
1.0,1.0,1.0,6.800000000000001
1.0,1.0,1.0,7.0
1.0,1.0,1.0,7.2
1.0,1.0,1.0,7.4
1.0,1.0,1.0,7.6000000000000005
1.0,1.0,1.0,7.800000000000001
1.0,1.0,1.0,8.0
1.0,1.0,1.0,8.200000000000001
1.0,1.0,1.0,8.4
1.0,1.0,1.0,8.6
1.0,1.0,1.0,8.8
1.0,1.0,1.0,9.0
1.0,1.0,1.0,9.200000000000001
1.0,1.0,1.0,9.4
1.0,1.0,1.0,9.600000000000001
1.0,1.0,1.0,9.8
1.0,1.0,1.0,10.0
1.0,1.0,1.0,10.200000000000001
1.0,1.0,1.0,10.4
1.0,1.0,1.0,10.600000000000001
1.0,1.0,1.0,10.8
1.0,1.0,1.0,11.0
1.0,1.0,1.0,11.200000000000001
1.0,1.0,1.0,11.4
1.0,1.0,1.0,11.600000000000001
1.0,1.0,1.0,11.8
1.0,1.0,1.0,12.0
1.0,1.0,1.0,12.200000000000001
1.0,1.0,1.0,12.4
1.0,1.0,1.0,12.600000000000001
1.0,1.0,1.0,12.8
1.0,1.0,1.0,13.0
1.0,1.0,1.0,13.200000000000001
1.0,1.0,1.0,13.4
